time,power
2021-01-02 14:45:00,24.346113
2021-01-02 15:00:00,24.890001
2021-01-02 15:15:00,24.614279
2021-01-02 15:30:00,24.690086
2021-01-02 15:45:00,23.748207
2021-01-02 16:00:00,23.815712
2021-01-02 16:15:00,23.687355
2021-01-02 16:30:00,23.816414
2021-01-02 16:45:00,23.890491
2021-01-02 17:00:00,23.649216
2021-01-02 17:15:00,23.472504
2021-01-02 17:30:00,23.452759
2021-01-02 17:45:00,23.618147
2021-01-02 18:00:00,36.31771
2021-01-02 18:15:00,27.173567
2021-01-02 18:30:00,25.676174
2021-01-02 18:45:00,26.6671
2021-01-02 19:00:00,27.439585
2021-01-02 19:15:00,24.608326
2021-01-02 19:30:00,26.408974
2021-01-02 19:45:00,26.143032
2021-01-02 20:00:00,24.618805
2021-01-02 20:15:00,25.796309
2021-01-02 20:30:00,25.926517
2021-01-02 20:45:00,25.248926
2021-01-02 21:00:00,25.453342
2021-01-02 21:15:00,25.270336
2021-01-02 21:30:00,25.406736
2021-01-02 21:45:00,24.981537
2021-01-02 22:00:00,24.187138
2021-01-02 22:15:00,24.366026
2021-01-02 22:30:00,24.28167
2021-01-02 22:45:00,24.467442
2021-01-02 23:00:00,24.346302
2021-01-02 23:15:00,23.98568
2021-01-02 23:30:00,24.76597
2021-01-02 23:45:00,24.080936
2021-01-03 00:00:00,33.445026
2021-01-03 00:15:00,26.349611
2021-01-03 00:30:00,24.681072
2021-01-03 00:45:00,25.295172
2021-01-03 01:00:00,26.357777
2021-01-03 01:15:00,23.41354
2021-01-03 01:30:00,24.989296
2021-01-03 01:45:00,25.052433
2021-01-03 02:00:00,23.348248
2021-01-03 02:15:00,24.781754
2021-01-03 02:30:00,24.856672
2021-01-03 02:45:00,23.71334
2021-01-03 03:00:00,24.568077
2021-01-03 03:15:00,24.28429
2021-01-03 03:30:00,24.393826
2021-01-03 03:45:00,24.040646
2021-01-03 04:00:00,23.79521
2021-01-03 04:15:00,24.050251
2021-01-03 04:30:00,23.72242
2021-01-03 04:45:00,23.970484
2021-01-03 05:00:00,23.418695
2021-01-03 05:15:00,23.416431
2021-01-03 05:30:00,24.303009
2021-01-03 05:45:00,23.529182
2021-01-03 06:00:00,35.34453
2021-01-03 06:15:00,27.643854
2021-01-03 06:30:00,25.497364
2021-01-03 06:45:00,26.471283
2021-01-03 07:00:00,27.472738
2021-01-03 07:15:00,24.497896
2021-01-03 07:30:00,25.941948
2021-01-03 07:45:00,26.258064
2021-01-03 08:00:00,24.164732
2021-01-03 08:15:00,25.730053
2021-01-03 08:30:00,26.091436
2021-01-03 08:45:00,25.34932
2021-01-03 09:00:00,25.317486
2021-01-03 09:15:00,25.451532
2021-01-03 09:30:00,25.537756
2021-01-03 09:45:00,24.777508
2021-01-03 10:00:00,24.14571
2021-01-03 10:15:00,24.571625
2021-01-03 10:30:00,24.219206
2021-01-03 10:45:00,24.452997
2021-01-03 11:00:00,24.365189
2021-01-03 11:15:00,23.943588
2021-01-03 11:30:00,24.71953
2021-01-03 11:45:00,24.083868
2021-01-03 12:00:00,34.31953
2021-01-03 12:15:00,26.427053
2021-01-03 12:30:00,24.577898
2021-01-03 12:45:00,25.481268
2021-01-03 13:00:00,26.600885
2021-01-03 13:15:00,23.345142
2021-01-03 13:30:00,24.392681
2021-01-03 13:45:00,25.187714
2021-01-03 14:00:00,23.76381
2021-01-03 14:15:00,24.782307
2021-01-03 14:30:00,25.09515
2021-01-03 14:45:00,23.953213
2021-01-03 15:00:00,24.422512
2021-01-03 15:15:00,24.390026
2021-01-03 15:30:00,24.444584
2021-01-03 15:45:00,24.156628
2021-01-03 16:00:00,23.665012
2021-01-03 16:15:00,23.997345
2021-01-03 16:30:00,23.66703
2021-01-03 16:45:00,23.884373
2021-01-03 17:00:00,23.651997
2021-01-03 17:15:00,23.42226
2021-01-03 17:30:00,24.168793
2021-01-03 17:45:00,23.563068
2021-01-03 18:00:00,34.816483
2021-01-03 18:15:00,26.683563
2021-01-03 18:30:00,23.903412
2021-01-03 18:45:00,25.125153
2021-01-03 19:00:00,26.144232
2021-01-03 19:15:00,23.355536
2021-01-03 19:30:00,23.756876
2021-01-03 19:45:00,24.59707
2021-01-03 20:00:00,22.711517
2021-01-03 20:15:00,23.87387
2021-01-03 20:30:00,24.485237
2021-01-03 20:45:00,23.57877
2021-01-03 21:00:00,23.723701
2021-01-03 21:15:00,23.783619
2021-01-03 21:30:00,23.870255
2021-01-03 21:45:00,23.47446
2021-01-03 22:00:00,22.845268
2021-01-03 22:15:00,22.979042
2021-01-03 22:30:00,22.665073
2021-01-03 22:45:00,22.986984
2021-01-03 23:00:00,22.766579
2021-01-03 23:15:00,22.593826
2021-01-03 23:30:00,23.344398
2021-01-03 23:45:00,22.757862
2021-01-04 00:00:00,37.504086
2021-01-04 00:15:00,27.273344
2021-01-04 00:30:00,24.727821
2021-01-04 00:45:00,26.39143
2021-01-04 01:00:00,26.84869
2021-01-04 01:15:00,23.902512
2021-01-04 01:30:00,25.248856
2021-01-04 01:45:00,25.437218
2021-01-04 02:00:00,23.687359
2021-01-04 02:15:00,24.8579
2021-01-04 02:30:00,25.227505
2021-01-04 02:45:00,24.51741
2021-01-04 03:00:00,24.734058
2021-01-04 03:15:00,24.603008
2021-01-04 03:30:00,24.686852
2021-01-04 03:45:00,23.606173
2021-01-04 04:00:00,23.921051
2021-01-04 04:15:00,23.634779
2021-01-04 04:30:00,23.708326
2021-01-04 04:45:00,23.994917
2021-01-04 05:00:00,23.539349
2021-01-04 05:15:00,23.435524
2021-01-04 05:30:00,24.195347
2021-01-04 05:45:00,23.498768
2021-01-04 06:00:00,35.647686
2021-01-04 06:15:00,26.454958
2021-01-04 06:30:00,25.065819
2021-01-04 06:45:00,25.582893
2021-01-04 07:00:00,26.689987
2021-01-04 07:15:00,23.956581
2021-01-04 07:30:00,25.041132
2021-01-04 07:45:00,25.338259
2021-01-04 08:00:00,23.302896
2021-01-04 08:15:00,24.814838
2021-01-04 08:30:00,25.197845
2021-01-04 08:45:00,24.286655
2021-01-04 09:00:00,24.861523
2021-01-04 09:15:00,24.502937
2021-01-04 09:30:00,24.668882
2021-01-04 09:45:00,23.956667
2021-01-04 10:00:00,23.399319
2021-01-04 10:15:00,23.685898
2021-01-04 10:30:00,23.51496
2021-01-04 10:45:00,23.706348
2021-01-04 11:00:00,23.57234
2021-01-04 11:15:00,23.194242
2021-01-04 11:30:00,23.992325
2021-01-04 11:45:00,23.235077
2021-01-04 12:00:00,34.852745
2021-01-04 12:15:00,26.863617
2021-01-04 12:30:00,24.89935
2021-01-04 12:45:00,25.816975
2021-01-04 13:00:00,26.6066
2021-01-04 13:15:00,23.887207
2021-01-04 13:30:00,25.064175
2021-01-04 13:45:00,25.221233
2021-01-04 14:00:00,23.509157
